season,game_id,game_date,season_phase,game_time_et,matchup_key,player_id,player,team_abbr,opponent_abbr,is_home,starter,position,minutes,points,rebounds,assists,three_made,three_attempts,turnovers,steals,blocks,oreb,dreb,personal_fouls,fgm,fga,ftm,fta,plus_minus,team_score,opponent_score,PTS,REB,AST,THREES,PRA,PA,PR,RA,source
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,4433408,Aaliyah Edwards,WSH,ATL,False,False,F,16.0,6,4,0,0,0,1,2,2,0,4,3,3,5,0,0,+14,84,87,6.0,4.0,0.0,0.0,10.0,6.0,10.0,4.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,4398625,Elissa Cunane,WSH,ATL,False,False,C,4.0,3,2,0,0,0,0,0,0,2,0,2,1,3,1,1,-8,84,87,3.0,2.0,0.0,0.0,5.0,3.0,5.0,2.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,4398779,Queen Egbo,WSH,ATL,False,False,C,7.0,2,4,0,0,0,0,0,1,2,2,2,0,1,2,4,0,84,87,2.0,4.0,0.0,0.0,6.0,2.0,6.0,4.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,2566110,Julie Vanloo,WSH,ATL,False,False,G,19.0,3,1,8,1,5,2,0,0,1,0,2,1,5,0,0,-2,84,87,3.0,1.0,8.0,1.0,12.0,11.0,4.0,9.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,3058893,Shatori Walker-Kimbrough,WSH,ATL,False,False,G,20.0,6,3,1,0,4,0,2,2,1,2,2,3,10,0,0,-9,84,87,6.0,3.0,1.0,0.0,10.0,7.0,9.0,4.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,4281253,DiDi Richards,WSH,ATL,False,False,G,18.0,5,2,1,0,3,1,2,0,1,1,0,2,6,1,2,+4,84,87,5.0,2.0,1.0,0.0,8.0,6.0,7.0,3.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,4398777,Honesty Scott-Grayson,WSH,ATL,False,False,G,6.0,6,2,0,1,3,1,0,0,0,2,0,2,5,1,1,+3,84,87,6.0,2.0,0.0,1.0,8.0,6.0,8.0,2.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,4432841,Jakia Brown-Turner,WSH,ATL,False,False,G,7.0,0,1,1,0,1,1,1,0,1,0,0,0,4,0,0,0,84,87,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,4433365,Kaylynne Truong,WSH,ATL,False,False,G,9.0,3,2,1,1,2,2,1,0,0,2,2,1,2,0,0,0,84,87,3.0,2.0,1.0,1.0,6.0,4.0,5.0,3.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,2529458,Cheyenne Parker-Tyus,ATL,WSH,True,True,F,10.0,4,4,1,0,1,1,0,0,1,3,3,1,3,2,3,-2,87,84,4.0,4.0,1.0,0.0,9.0,5.0,8.0,5.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,918,Tina Charles,ATL,WSH,True,True,C,11.0,6,0,0,0,0,4,0,0,0,0,4,3,5,0,0,-2,87,84,6.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,3058901,Allisha Gray,ATL,WSH,True,True,G,10.0,7,2,0,1,1,1,0,1,0,2,1,3,4,0,0,-4,87,84,7.0,2.0,0.0,1.0,9.0,7.0,9.0,2.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,4398674,Rhyne Howard,ATL,WSH,True,True,G,10.0,5,3,1,1,2,1,0,0,0,3,0,2,5,0,0,+3,87,84,5.0,3.0,1.0,1.0,9.0,6.0,8.0,4.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,4595910,Haley Jones,ATL,WSH,True,True,G,13.0,6,3,3,0,0,0,0,0,1,2,1,2,6,2,2,-2,87,84,6.0,3.0,3.0,0.0,12.0,9.0,9.0,6.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,3054090,Khadijiah Cave,ATL,WSH,True,False,F,21.0,6,5,0,0,1,1,2,1,2,3,2,2,7,2,2,+4,87,84,6.0,5.0,0.0,0.0,11.0,6.0,11.0,5.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,3054590,Nia Coffey,ATL,WSH,True,False,F,16.0,7,0,1,1,2,2,0,2,0,0,0,2,3,2,2,-3,87,84,7.0,0.0,1.0,1.0,8.0,8.0,7.0,1.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,4398915,Naz Hillmon,ATL,WSH,True,False,F,12.0,4,2,1,0,1,1,0,0,1,1,0,2,3,0,0,+1,87,84,4.0,2.0,1.0,0.0,7.0,5.0,6.0,3.0,espn_site_api
