selected_rank,candidate_id,slate_date,player,team,opponent,matchup_key,game_time_et,market,side,line,sportsbook_count,projected_value,line_gap,abs_line_gap,wf_confidence,meta_prob_correct,projected_minutes,minutes_volatility,starter_rate_last10,lineup_status,availability_status,rotation_rank,minutes_trend,data_completeness_score,stake_level,team_recent_win_pct,opponent_recent_win_pct,market_synergy_boost,market_synergy_drag,estimated_accuracy_prior_pct,tier,model_action,base_score,context_score,context_adjustment,correlation_penalty,final_score,risk_flags,context_flags,premium_pockets
,5c82dae46d72e640fa8f,2026-05-09,Chet Holmgren,OKC,LAL,OKC@LAL,"May 9, 8:30 PM",RA,UNDER,10.5,10,11.74,1.24,1.24,0.637939,0.584659,32.41,5.36,,EXPECTED,,2,4.85,100,PLAYOFF_HIGH_LEVERAGE,1,0,0,0,,C,COVERAGE,0.702098,0.54,0,0.025,0.677098,projection_side_split; auxiliary_side_sample_risk; minutes_trend_against_side; recent_form_mismatch,minutes_trend_against_side; recent_form_mismatch,
,c1e825daa307812a12af,2026-05-09,Chet Holmgren,OKC,LAL,OKC@LAL,"May 9, 8:30 PM",PTS,OVER,16.5,11,17.64,1.14,1.14,0.684024,0.531801,32.41,5.36,,EXPECTED,,2,4.85,100,PLAYOFF_HIGH_LEVERAGE,1,0,0,0,,C,COVERAGE,0.700326,0.59,0,0.031,0.669326,recent_form_mismatch,recent_form_mismatch,
,214eb70b2bdacf7c925d,2026-05-09,Isaiah Hartenstein,OKC,LAL,OKC@LAL,"May 9, 8:30 PM",AST,UNDER,2.5,9,3.24,0.74,0.74,0.743937,0.641745,25.89,4.89,,EXPECTED,,7,5.43,100,PLAYOFF_HIGH_LEVERAGE,1,0,0,0,,C,COVERAGE,0.69997,0.54,0,0.031,0.66897,projection_side_split; minutes_trend_against_side; recent_form_mismatch,minutes_trend_against_side; recent_form_mismatch,
,1d8fb7eeeb6b4f51c510,2026-05-09,Donovan Mitchell,CLE,DET,DET@CLE,"May 9, 3:00 PM",PR,OVER,30.5,10,29.6,-0.9,0.9,0.648765,0.599785,36.59,2.85,,CONFIRMED,,2,0.65,100,PLAYOFF_HIGH_LEVERAGE,0,1,14.35,0,,C,COVERAGE,0.699748,0.655,0,0.025,0.674748,projection_side_split; recent_form_mismatch,recent_form_mismatch,
,213936cd3bfa8a8ae6a2,2026-05-09,LeBron James,LAL,OKC,OKC@LAL,"May 9, 8:30 PM",RA,OVER,14.5,10,15.39,0.89,0.89,0.689971,0.544133,37.34,7.17,,EXPECTED,,3,1.55,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,,C,COVERAGE,0.699107,0.59,0,0.07,0.629107,recent_form_mismatch,recent_form_mismatch,
,44c3adcbac3c11401437,2026-05-09,Max Strus,CLE,DET,DET@CLE,"May 9, 3:00 PM",THREES,OVER,2.5,9,2.34,-0.16,0.16,0.779859,0.689955,25.76,3.94,,CONFIRMED,,5,3.91,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,,C,COVERAGE,0.697502,0.62,0,0.025,0.672502,projection_side_split; auxiliary_side_sample_risk; thin_projection_gap; recent_form_mismatch,recent_form_mismatch,
,3c10b30d2ed89aeb458e,2026-05-09,Cade Cunningham,DET,CLE,DET@CLE,"May 9, 3:00 PM",PR,UNDER,31.5,10,30.13,-1.37,1.37,0.581936,0.574414,41.95,5.92,,CONFIRMED,,1,2.19,100,PLAYOFF_HIGH_LEVERAGE,1,0,9.86,5.54,,C,COVERAGE,0.6967,0.5348,0,0.07,0.6267,minutes_trend_against_side; teammate_synergy_against_side; recent_form_mismatch,minutes_trend_against_side; teammate_synergy_against_side; recent_form_mismatch,
,5f260e3ce37ed01df77a,2026-05-09,Duncan Robinson,DET,CLE,DET@CLE,"May 9, 3:00 PM",THREES,OVER,2.5,9,3.02,0.52,0.52,0.75116,0.745853,32.88,5,,CONFIRMED,,6,3.73,100,PLAYOFF_HIGH_LEVERAGE,1,0,0,0,,C,COVERAGE,0.696628,0.57,-0.025,0.07,0.626628,auxiliary_side_sample_risk; wide_minutes_range; recent_form_mismatch,wide_minutes_range; recent_form_mismatch,
,4da8f1cca52a02c7dfba,2026-05-09,Ausar Thompson,DET,CLE,DET@CLE,"May 9, 3:00 PM",REB,OVER,6.5,11,6.28,-0.22,0.22,0.752981,0.576616,32.73,5.43,,CONFIRMED,,5,-0.7,100,PLAYOFF_HIGH_LEVERAGE,1,0,0,0,,C,COVERAGE,0.695013,0.585,0,0.07,0.625013,projection_side_split; thin_projection_gap; recent_form_mismatch,recent_form_mismatch,
,c22bf3253d18747d7dc7,2026-05-09,Rui Hachimura,LAL,OKC,OKC@LAL,"May 9, 8:30 PM",PR,UNDER,17.5,9,19.19,1.69,1.69,0.694761,0.570615,36.1,5.11,,EXPECTED,,2,0.37,100,PLAYOFF_HIGH_LEVERAGE,0,1,16.07,0,,C,COVERAGE,0.69501,0.49,-0.025,0.07,0.62501,projection_side_split; wide_minutes_range; teammate_synergy_against_side; recent_form_mismatch,wide_minutes_range; teammate_synergy_against_side; recent_form_mismatch,
,485724d1310dafe96829,2026-05-09,Rui Hachimura,LAL,OKC,OKC@LAL,"May 9, 8:30 PM",THREES,OVER,2.5,9,2.96,0.46,0.46,0.738119,0.73589,36.1,5.11,,EXPECTED,,2,0.37,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,,C,COVERAGE,0.693153,0.525,-0.025,0.07,0.623153,auxiliary_side_sample_risk; thin_projection_gap; wide_minutes_range; recent_form_mismatch,wide_minutes_range; recent_form_mismatch,
