playerName,team,games,points,rebounds,assists,threes,pointsPerGame,reboundsPerGame,assistsPerGame,threesPerGame
GG Jackson II,MEM,38,400.7,174.10000000000002,52.199999999999996,54.40000000000001,10.54,4.58,1.37,1.43
Landry Shamet,NYK,37,400.49999999999994,84.5,76.39999999999999,109.19999999999999,10.82,2.28,2.06,2.95
Jamal Shead,TOR,64,400.1,128.5,320.1000000000001,81.49999999999999,6.25,2.01,5,1.27
Bones Hyland,MIN,53,397.7999999999999,116.2,156.2,94.1,7.51,2.19,2.95,1.78
Kentavious Caldwell-Pope,MEM,54,397.7,154.90000000000003,164.4,62.7,7.36,2.87,3.04,1.16
Darius Garland,CLE,26,393.59999999999997,73.4,155.40000000000003,48.8,15.14,2.82,5.98,1.88
Svi Mykhailiuk,UTA,51,390.5,116.00000000000001,109.19999999999997,101.5,7.66,2.27,2.14,1.99
Draymond Green,GSW,51,389.69999999999993,267.9,229.5,85.59999999999998,7.64,5.25,4.5,1.68
Nique Clifford,SAC,60,389.59999999999985,234.1000000000001,144.1,52.6,6.49,3.9,2.4,0.88
Patrick Williams,CHI,59,386,183.99999999999997,103.4,86.5,6.54,3.12,1.75,1.47
Danny Wolf,BKN,46,384.1,247.00000000000009,122.30000000000001,64.49999999999999,8.35,5.37,2.66,1.4
Jusuf Nurkic,UTA,44,383.69999999999993,376.59999999999997,170.4,21.900000000000002,8.72,8.56,3.87,0.5
Will Riley,WAS,52,382.29999999999995,158.59999999999997,100.49999999999999,40.800000000000004,7.35,3.05,1.93,0.78
Paul Reed,DET,44,381,262.9,97.5,21.7,8.66,5.98,2.22,0.49
Terance Mann,BKN,53,379.7999999999999,179.30000000000007,181.89999999999998,65.8,7.17,3.38,3.43,1.24
Will Richard,GSW,58,377.1000000000001,156.49999999999997,85.90000000000002,69.1,6.5,2.7,1.48,1.19
T.J. McConnell,IND,44,373.4,104.5,223.90000000000006,18.000000000000004,8.49,2.38,5.09,0.41
Buddy Hield,GSW,49,372.1,124.70000000000005,87.3,76.2,7.59,2.54,1.78,1.56
Bilal Coulibaly,WAS,38,370.99999999999994,166.40000000000003,122,45.10000000000001,9.76,4.38,3.21,1.19
Aaron Wiggins,OKC,49,368.90000000000003,157,82.3,66.50000000000001,7.53,3.2,1.68,1.36
Tari Eason,HOU,38,368.9,240.00000000000003,56.7,71.30000000000003,9.71,6.32,1.49,1.88
Ben Sheppard,IND,49,367.40000000000003,182.39999999999995,123.60000000000001,83.4,7.5,3.72,2.52,1.7
Nikola Jovic,MIA,45,363.8,182.00000000000006,138.70000000000002,63.800000000000004,8.08,4.04,3.08,1.42
Oso Ighodaro,PHX,62,362.30000000000007,295.50000000000006,149.69999999999996,0,5.84,4.77,2.41,0
Gradey Dick,TOR,62,361.69999999999993,140.39999999999998,45.2,55.80000000000001,5.83,2.26,0.73,0.9
Ja Morant,MEM,20,361.4,66.6,150.2,31.499999999999996,18.07,3.33,7.51,1.57
Paul George,PHI,27,359.6,123.4,95.6,73.39999999999999,13.32,4.57,3.54,2.72
Brook Lopez,LAC,52,356.3,166.29999999999998,53.199999999999996,88.30000000000003,6.85,3.2,1.02,1.7
Justin Champagnie,WAS,53,354.3,291.4,64.8,43.400000000000006,6.68,5.5,1.22,0.82
Isaiah Hartenstein,OKC,35,353,283.9,130.4,0.6,10.09,8.11,3.73,0.02
Domantas Sabonis,SAC,22,347.1,237.6,93.19999999999999,6.7,15.78,10.8,4.24,0.3
Jalen Williams,OKC,25,346.2,105.70000000000002,119.69999999999999,15.7,13.85,4.23,4.79,0.63
Herbert Jones,NOP,38,345,177.30000000000004,163.80000000000004,70.7,9.08,4.67,4.31,1.86
Caris LeVert,DET,42,337.40000000000003,98.89999999999998,144.29999999999998,62.6,8.03,2.35,3.44,1.49
Andre Drummond,PHI,45,336.70000000000005,410.69999999999993,71.69999999999999,32.9,7.48,9.13,1.59,0.73
Jaylin Williams,OKC,48,335.99999999999994,233.19999999999996,120.49999999999996,84.60000000000001,7,4.86,2.51,1.76
Luka Garza,BOS,52,335.2999999999999,203.30000000000007,47.8,44.6,6.45,3.91,0.92,0.86
Luke Kornet,SAS,53,335.2,312.00000000000006,101.30000000000003,0,6.32,5.89,1.91,0
Josh Okogie,HOU,57,333.2,169.60000000000002,63.60000000000001,65.9,5.85,2.98,1.12,1.16
Walter Clayton Jr.,UTA,54,326.8,128.4,183.99999999999997,48.80000000000002,6.05,2.38,3.41,0.9
