date,rule,cardSize,playerTabPicksOnDay,usedLegsOnDay,unusedLegsOnDay,cardIndex,card_hit,eligibleLegsOnDay,legA_correct,legA_line,legA_market,legA_player,legA_score,legA_side,legA_team,legB_correct,legB_line,legB_market,legB_player,legB_score,legB_side,legB_team,legC_correct,legC_line,legC_market,legC_player,legC_score,legC_side,legC_team,legD_correct,legD_line,legD_market,legD_player,legD_score,legD_side,legD_team,legE_correct,legE_line,legE_market,legE_player,legE_score,legE_side,legE_team,legF_correct,legF_line,legF_market,legF_player,legF_score,legF_side,legF_team
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,44,True,114,True,20.5,PRA,Jeremiah Fears,0.835669,OVER,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,45,True,114,True,30.5,PR,Tyrese Maxey,0.835288,OVER,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,46,True,114,True,5.5,PTS,Kris Murray,0.833377,OVER,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,47,True,114,True,32.5,PRA,Josh Giddey,0.831711,OVER,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,48,True,114,True,14.5,PTS,Onyeka Okongwu,0.831183,UNDER,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,49,True,114,True,33.5,PA,Deni Avdija,0.830443,UNDER,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,50,True,114,True,23.5,PTS,Evan Mobley,0.829041,OVER,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,51,True,114,True,8.5,RA,Brandon Ingram,0.823345,OVER,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,52,True,114,True,23.5,PRA,Mikal Bridges,0.820662,OVER,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,53,True,114,True,10.5,PRA,Jay Huff,0.820526,OVER,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,54,True,114,True,7.5,AST,Keyonte George,0.818769,OVER,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,55,True,114,True,17.5,PRA,Marcus Smart,0.81849,OVER,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,56,True,114,True,9.5,PA,Luke Kennard,0.817805,UNDER,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,57,True,114,True,35.5,PA,Jalen Brunson,0.817606,OVER,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,58,True,114,True,10.5,PR,Kentavious Caldwell-Pope,0.812007,OVER,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,59,True,114,True,24.5,PTS,Ja Morant,0.811077,UNDER,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,60,True,114,True,9.5,PTS,Bradley Beal,0.810629,UNDER,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,61,True,114,True,18.5,PRA,Neemias Queta,0.809621,UNDER,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,62,True,114,True,11.5,PTS,Ayo Dosunmu,0.808917,OVER,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
