playerName,PTS_samples,PTS_acc,PTS_holdout,PTS_hit80,REB_samples,REB_acc,REB_holdout,REB_hit80,AST_samples,AST_acc,AST_holdout,AST_hit80,THREES_samples,THREES_acc,THREES_holdout,THREES_hit80,PRA_samples,PRA_acc,PRA_holdout,PRA_hit80,PA_samples,PA_acc,PA_holdout,PA_hit80,PR_samples,PR_acc,PR_holdout,PR_hit80,RA_samples,RA_acc,RA_holdout,RA_hit80
Jared McCain,27,100,44.44,true,26,100,50,true,27,96.3,0,true,5,100,,true,7,100,,true,7,100,,true,7,100,,true,7,100,,true
Jarred Vanderbilt,35,94.29,63.64,true,35,94.29,36.36,true,35,94.29,54.55,true,20,90,66.67,true,16,100,80,true,16,93.75,40,true,16,93.75,40,true,16,100,40,true
Jase Richardson,8,100,100,true,8,100,66.67,true,8,100,66.67,true,3,100,,true,4,100,,true,4,100,,true,4,100,,true,4,100,,true
Javonte Green,26,96.15,75,true,27,92.59,44.44,true,22,90.91,71.43,true,7,100,,true,13,100,75,true,13,100,25,true,15,100,40,true,13,92.31,50,true
Jay Huff,50,84,73.33,true,50,86,53.33,true,49,81.63,53.33,true,41,100,61.54,true,26,96.15,50,true,25,96,62.5,true,26,96.15,75,true,26,88.46,75,true
Jaylen Brown,56,91.07,23.53,true,56,82.14,29.41,true,56,89.29,35.29,true,53,88.68,43.75,true,35,91.43,63.64,true,35,85.71,72.73,true,34,82.35,63.64,true,35,85.71,18.18,true
Jaylen Clark,14,100,0,true,14,100,60,true,14,100,40,true,2,100,,true,6,100,,true,5,100,,true,6,100,,true,6,100,,true
Jaylin Williams,39,94.87,25,true,40,97.5,50,true,39,92.31,58.33,true,15,100,60,true,21,80.95,71.43,true,19,89.47,66.67,true,21,100,57.14,true,19,94.74,66.67,true
Jayson Tatum,2,100,,true,2,100,,true,2,100,,true,2,100,,true,2,100,,true,2,100,,true,2,100,,true,2,100,,true
Jett Howard,6,100,,true,6,100,,true,6,100,,true,1,100,,true,5,80,,true,5,100,,true,5,100,,true,5,100,,true
Jevon Carter,10,100,66.67,true,9,100,33.33,true,9,100,100,true,4,100,,true,3,100,,true,2,100,,true,2,100,,true,2,100,,true
Joel Embiid,32,81.25,40,true,32,90.63,50,true,32,90.63,20,true,29,82.76,44.44,true,10,100,33.33,true,10,100,66.67,true,10,100,66.67,true,10,100,33.33,true
John Konchar,16,87.5,20,true,15,100,40,true,16,87.5,40,true,7,100,,true,4,100,,true,4,100,,true,4,100,,true,4,100,,true
Johnny Furphy,17,94.12,0,true,17,94.12,66.67,true,17,94.12,83.33,true,15,93.33,0,true,12,100,50,true,11,90.91,50,true,12,100,100,true,12,100,50,true
Jonathan Kuminga,18,88.89,33.33,true,18,88.89,16.67,true,18,100,83.33,true,16,100,100,true,6,100,,true,6,100,,true,6,100,,true,6,100,,true
Jordan Clarkson,36,94.44,72.73,true,36,97.22,45.45,true,36,97.22,36.36,true,10,100,66.67,true,11,100,75,true,10,100,100,true,11,100,75,true,11,100,50,true
Jordan Goodwin,44,93.18,50,true,44,90.91,50,true,43,90.7,76.92,true,23,86.96,28.57,true,21,95.24,57.14,true,21,95.24,71.43,true,21,95.24,71.43,true,21,85.71,14.29,true
Jordan Hawkins,12,91.67,25,true,10,90,66.67,true,10,100,66.67,true,1,100,,true,2,100,,true,2,100,,true,2,100,,true,2,100,,true
Jordan Miller,21,100,57.14,true,15,100,60,true,11,100,50,true,1,100,,true,16,100,40,true,14,92.86,60,true,14,100,60,true,10,100,100,true
Jordan Poole,26,88.46,37.5,true,26,92.31,25,true,26,92.31,50,true,23,91.3,42.86,true,9,100,33.33,true,9,100,33.33,true,9,100,66.67,true,9,100,66.67,true
Josh Giddey,41,90.24,38.46,true,41,92.68,61.54,true,41,92.68,38.46,true,39,94.87,50,true,17,94.12,66.67,true,17,94.12,50,true,17,94.12,50,true,17,94.12,66.67,true
Josh Hart,55,85.45,41.18,true,55,81.82,47.06,true,55,80,41.18,true,48,91.67,33.33,true,33,81.82,60,true,33,90.91,60,true,33,87.88,30,true,33,96.97,100,true
Josh Minott,15,100,60,true,15,93.33,20,true,15,86.67,40,true,3,100,,true,2,100,,true,2,100,,true,2,100,,true,2,100,,true
Josh Okogie,34,91.18,27.27,true,34,94.12,45.45,true,34,88.24,54.55,true,28,96.43,33.33,true,12,100,75,true,12,83.33,0,true,12,100,75,true,12,100,75,true
Jrue Holiday,35,94.29,72.73,true,35,85.71,63.64,true,35,82.86,36.36,true,35,85.71,63.64,true,22,95.45,42.86,true,22,95.45,28.57,true,22,95.45,28.57,true,22,95.45,71.43,true
Julian Champagnie,64,87.5,45,true,64,87.5,45,true,64,82.81,35,true,48,85.42,53.33,true,41,85.37,53.85,true,40,92.5,41.67,true,41,97.56,61.54,true,41,87.8,23.08,true
Julian Strawther,18,100,33.33,true,18,94.44,33.33,true,18,88.89,33.33,true,12,100,50,true,10,100,0,true,10,90,33.33,true,10,90,33.33,true,10,100,66.67,true
Justin Champagnie,38,94.74,58.33,true,38,89.47,58.33,true,38,89.47,50,true,27,92.59,77.78,true,19,84.21,66.67,true,18,100,33.33,true,21,90.48,57.14,true,19,100,16.67,true
Kam Jones,6,100,,true,7,85.71,,true,7,100,,true,7,100,,true,4,100,,true,4,100,,true,4,100,,true,4,100,,true
Kasparas Jakučionis,14,100,20,true,14,100,80,true,14,100,20,true,5,100,,true,10,100,100,true,10,100,100,true,10,90,33.33,true,10,100,100,true
