date,selectedRank,modelAction,tier,playerName,teamCode,gameKey,market,side,line,actualValue,actualSide,correct,projectedValue,lineGap,absLineGap,wfConfidence,metaProbCorrect,projectedMinutes,minutesVolatility,starterRateLast10,expectedMinutes,minutesLiftPct,lineupTimingConfidence,completenessScore,openingTeamSpread,openingTotal,missingCoreShare,stepUpRoleFlag,estimatedAccuracyPriorPct,baseScore,contextScore,contextAdjustment,correlationPenalty,finalScore,rejectionReason,components,riskFlags,contextFlags,contextNotes
2025-11-06,2,SELECTED,A,John Collins,LAC,0022500182,PTS,UNDER,17.5,13.0,UNDER,True,13.94,-3.56,3.56,0.904194,0.97646,22.15,5.34,,22.15,-0.1408,,69.0,-4.5,227.5,0.0,False,90.71,0.925117,0.495,0.0,0.025,0.900117,,live_quality_router_v9;top200_accuracy_first;top200_meta_reliability;top200_primary,thin_context_completeness,thin_context_completeness,minutes_lift_supports_under;competitive_spread
2025-11-07,1,SELECTED,S,Nikola Vučević,CHI,0022500035,REB,UNDER,10.5,6.0,UNDER,True,12.21,1.71,1.71,0.929274,0.938337,29.54,3.88,,29.54,-0.0837,,72.0,4.5,242.5,0.0,False,95.15,0.933523,0.59,0.0,0.0,0.933523,,live_quality_router_v9;top200_premium_90;top200_accuracy_first;top200_meta_reliability;top200_coverage_frontier;top200_recent_form_fade;top200_primary,projection_side_split,,stable_minutes;minutes_lift_supports_under;competitive_spread
2025-11-07,2,SELECTED,S,Josh Okogie,HOU,0022500032,PTS,OVER,7.5,12.0,OVER,True,9.69,2.19,2.19,0.939537,0.969397,22.53,5.52,,22.53,0.1777,,69.0,-3.0,227.0,0.0,False,93.7,0.898876,0.495,0.0,0.0,0.898876,,live_quality_router_v9;top200_premium_90,thin_context_completeness,thin_context_completeness,minutes_lift_supports_over;competitive_spread
2025-11-07,3,SELECTED,S,Bobby Portis,MIL,0022500035,PTS,UNDER,9.5,7.0,UNDER,True,10.57,1.07,1.07,0.875109,0.964046,19.0,2.86,,19.0,-0.2379,,73.0,-4.5,242.5,0.0,False,94.8,0.881059,0.57,0.0,0.031,0.850059,,live_quality_router_v9;top200_premium_90;top200_meta_reliability;top200_primary,low_projected_minutes;projection_side_split;total_environment_against_side,total_environment_against_side,stable_minutes;minutes_lift_supports_under;competitive_spread
2025-11-07,4,SELECTED,S,Svi Mykhailiuk,UTA,0022500036,AST,OVER,1.5,2.0,OVER,True,2.03,0.53,0.53,0.832588,0.860865,26.54,6.47,,26.54,0.4057,,68.0,13.5,229.5,0.0,False,93.7,0.826847,0.42,0.0,0.0,0.826847,,live_quality_router_v9;top200_premium_90,thin_context_completeness;blowout_spread_risk,thin_context_completeness;blowout_spread_risk,minutes_lift_supports_over
2025-11-07,5,SELECTED,A,Nikola Jokić,DEN,0022500037,PRA,UNDER,52.5,44.0,UNDER,True,56.31,3.81,3.81,0.948684,0.989247,31.3,6.8,,31.3,-0.1485,1.0,67.0,-5.5,234.5,0.1796,False,90.71,0.950166,0.505,0.0,0.0,0.950166,,live_quality_router_v9;top200_accuracy_first;top200_meta_reliability;top200_primary,projection_side_split;thin_context_completeness,thin_context_completeness,strong_lineup_timing;minutes_lift_supports_under
2025-11-07,6,SELECTED,A,Nique Clifford,SAC,0022500038,AST,OVER,1.5,2.0,OVER,True,3.31,1.81,1.81,0.937968,0.951869,24.23,5.93,,24.23,0.0,,61.0,8.5,227.5,0.0,False,90.71,0.894487,0.44,0.0,0.006,0.888487,,live_quality_router_v9;top200_accuracy_first;top200_meta_reliability;top200_primary,thin_context_completeness,thin_context_completeness,
2025-11-08,1,SELECTED,S,Corey Kispert,WAS,0022500183,AST,OVER,1.5,2.0,OVER,True,2.01,0.51,0.51,0.846796,0.935942,18.95,3.67,,18.95,-0.2635,,72.0,3.5,230.5,0.0,False,93.7,0.826732,0.525,0.0,0.0,0.826732,,live_quality_router_v9;top200_premium_90,low_projected_minutes;minutes_lift_against_side,minutes_lift_against_side,stable_minutes;competitive_spread
2025-11-08,2,SELECTED,A,Scottie Barnes,TOR,0022500184,PTS,UNDER,18.5,18.0,UNDER,True,21.92,3.42,3.42,0.934817,0.964245,32.83,2.49,,32.83,-0.0177,1.0,74.0,4.5,236.5,0.1203,False,91.06,0.953399,0.575,0.0,0.0,0.953399,,live_quality_router_v9;top200_accuracy_first;top200_meta_reliability;top200_coverage_frontier;top200_recent_form_fade;top200_primary,projection_side_split;total_environment_against_side,total_environment_against_side,strong_lineup_timing;stable_minutes;competitive_spread
2025-11-08,3,SELECTED,A,Evan Mobley,CLE,0022500186,PRA,UNDER,37.5,37.0,UNDER,True,31.47,-6.03,6.03,0.953363,0.983905,33.41,2.34,,33.41,0.0802,1.0,74.0,-7.5,240.5,0.0,False,90.71,0.948777,0.55,0.0,0.0,0.948777,,live_quality_router_v9;top200_accuracy_first;top200_meta_reliability;top200_primary,total_environment_against_side,total_environment_against_side,strong_lineup_timing;stable_minutes
2025-11-08,4,SELECTED,A,Onyeka Okongwu,ATL,0022500185,PTS,UNDER,18.5,12.0,UNDER,True,12.59,-5.91,5.91,0.933429,0.976779,28.67,2.99,,28.67,0.0642,1.0,73.0,3.5,232.5,0.0,False,90.71,0.936291,0.595,0.0,0.006,0.930291,,live_quality_router_v9;top200_accuracy_first;top200_meta_reliability;top200_primary,,,strong_lineup_timing;stable_minutes;competitive_spread
2025-11-08,5,SELECTED,A,De'Aaron Fox,SAS,0022500188,AST,UNDER,5.5,3.0,UNDER,True,7.04,1.54,1.54,0.929948,0.951141,33.1,4.39,0.0,33.1,-0.0521,,91.0,-12.5,226.5,0.0,False,91.06,0.912205,0.495,0.0,0.006,0.906205,,live_quality_router_v9;top200_accuracy_first;top200_meta_reliability;top200_coverage_frontier;top200_recent_form_fade;top200_primary,projection_side_split;blowout_spread_risk,blowout_spread_risk,high_data_completeness
2025-11-08,6,SELECTED,A,Kel'el Ware,MIA,0022500187,REB,OVER,10.5,12.0,OVER,True,8.3,-2.2,2.2,0.938086,0.944562,22.27,6.17,,22.27,0.0109,,68.0,2.5,241.5,0.0,False,90.71,0.900619,0.465,0.0,0.0,0.900619,,live_quality_router_v9;top200_accuracy_first;top200_meta_reliability;top200_primary,projection_side_split;thin_context_completeness,thin_context_completeness,competitive_spread
